who_collected,date_collected,notch_id,weight,unit,existing_cage_number,new_cage_number,group,notes,mouse_id,latest_cage,mouse_label,starting_cage_number,dob,species,sex
Taru,2022-05-26,1L,18.8,g,F#1Saline,NA,saline+noMtb,Temp Cage Card,51,22474,Cage: 22474 Notch: 1L,F#1Saline,2022-04-05,C57BL/56,f
Taru,2022-05-26,1R1L,17.6,g,F#1Saline,NA,saline+noMtb,Temp Cage Card,52,22474,Cage: 22474 Notch: 1R1L,F#1Saline,2022-04-05,C57BL/57,f
Taru,2022-05-26,0,18.7,g,F#2Saline,NA,saline+noMtb,Temp Cage Card,53,22475,Cage: 22475 Notch: 0,F#2Saline,2022-04-05,C57BL/58,f
Taru,2022-05-26,1R,18.9,g,F#2Saline,NA,saline+noMtb,Temp Cage Card,54,22475,Cage: 22475 Notch: 1R,F#2Saline,2022-04-05,C57BL/59,f
Taru,2022-05-26,1L,18.1,g,F#2Saline,NA,saline+noMtb,Temp Cage Card,55,22475,Cage: 22475 Notch: 1L,F#2Saline,2022-04-05,C57BL/60,f
Taru,2022-05-26,1R1L,17.6,g,F#2Saline,NA,saline+noMtb,Temp Cage Card,56,22475,Cage: 22475 Notch: 1R1L,F#2Saline,2022-04-05,C57BL/61,f
Taru,2022-05-26,0,17.2,g,F#3Saline,NA,saline+noMtb,Temp Cage Card,57,22476,Cage: 22476 Notch: 0,F#3Saline,2022-04-05,C57BL/62,f
Taru,2022-05-26,1R,19.7,g,F#3Saline,NA,saline+noMtb,Temp Cage Card,58,22476,Cage: 22476 Notch: 1R,F#3Saline,2022-04-05,C57BL/63,f
Taru,2022-05-26,1L,17.1,g,F#3Saline,NA,saline+noMtb,Temp Cage Card,59,22476,Cage: 22476 Notch: 1L,F#3Saline,2022-04-05,C57BL/64,f
Taru,2022-05-26,1R1L,18.8,g,F#3Saline,NA,saline+noMtb,R ear ripped,60,22476,Cage: 22476 Notch: 1R1L,F#3Saline,2022-04-05,C57BL/65,f
Taru,2022-05-26,0,24.1,g,22019,NA,bcg,NA,61,22019,Cage: 22019 Notch: 0,22019,2022-04-05,C57BL/66,m
Taru,2022-05-26,1R,22.1,g,22019,NA,bcg,NA,62,22019,Cage: 22019 Notch: 1R,22019,2022-04-05,C57BL/67,m
Taru,2022-05-26,1L,25.7,g,22019,NA,bcg,NA,63,22019,Cage: 22019 Notch: 1L,22019,2022-04-05,C57BL/68,m
Taru,2022-05-26,1R1L,23,g,22019,NA,bcg,NA,64,22019,Cage: 22019 Notch: 1R1L,22019,2022-04-05,C57BL/69,m
Taru,2022-05-26,0,23.1,g,22020,NA,bcg,NA,65,22020,Cage: 22020 Notch: 0,22020,2022-04-05,C57BL/70,m
Taru,2022-05-26,1R,21.4,g,22020,NA,bcg,NA,66,22020,Cage: 22020 Notch: 1R,22020,2022-04-05,C57BL/71,m
Taru,2022-05-26,1L,22.2,g,22020,NA,bcg,NA,67,22020,Cage: 22020 Notch: 1L,22020,2022-04-05,C57BL/72,m
Taru,2022-05-26,1R1L,25,g,22020,NA,bcg,NA,68,22020,Cage: 22020 Notch: 1R1L,22020,2022-04-05,C57BL/73,m
Taru,2022-05-26,0,24,g,22021,NA,bcg,NA,69,22021,Cage: 22021 Notch: 0,22021,2022-04-05,C57BL/74,m
Taru,2022-05-26,1R,20.7,g,22021,NA,bcg,NA,70,22021,Cage: 22021 Notch: 1R,22021,2022-04-05,C57BL/75,m
Taru,2022-05-26,1L,22.7,g,22021,NA,bcg,NA,71,22021,Cage: 22021 Notch: 1L,22021,2022-04-05,C57BL/76,m
Taru,2022-05-26,1R1L,23.6,g,22021,NA,bcg,NA,72,22021,Cage: 22021 Notch: 1R1L,22021,2022-04-05,C57BL/77,m
Taru,2022-05-26,0,21.7,g,22022,NA,bcg+id93,NA,73,22022,Cage: 22022 Notch: 0,22022,2022-04-05,C57BL/78,m
Taru,2022-05-26,1R,23,g,22022,NA,bcg+id93,NA,74,22022,Cage: 22022 Notch: 1R,22022,2022-04-05,C57BL/79,m
Taru,2022-05-26,1L,23.8,g,22022,NA,bcg+id93,NA,75,22022,Cage: 22022 Notch: 1L,22022,2022-04-05,C57BL/80,m
Taru,2022-05-26,1R1L,23.6,g,22022,NA,bcg+id93,NA,76,22022,Cage: 22022 Notch: 1R1L,22022,2022-04-05,C57BL/81,m
Taru,2022-05-26,0,22,g,22023,NA,bcg+id93,NA,77,22023,Cage: 22023 Notch: 0,22023,2022-04-05,C57BL/82,m
Taru,2022-05-26,1R,23.2,g,22023,NA,bcg+id93,NA,78,22023,Cage: 22023 Notch: 1R,22023,2022-04-05,C57BL/83,m
Taru,2022-05-26,1L,22.3,g,22023,NA,bcg+id93,NA,79,22023,Cage: 22023 Notch: 1L,22023,2022-04-05,C57BL/84,m
Taru,2022-05-26,1R1L,21,g,22023,NA,bcg+id93,NA,80,22023,Cage: 22023 Notch: 1R1L,22023,2022-04-05,C57BL/85,m
Taru,2022-05-26,0,25,g,22024,NA,bcg+id93,NA,81,22024,Cage: 22024 Notch: 0,22024,2022-04-05,C57BL/86,m
Taru,2022-05-26,1R,24.7,g,22024,NA,bcg+id93,NA,82,22024,Cage: 22024 Notch: 1R,22024,2022-04-05,C57BL/87,m
Taru,2022-05-26,1L,21.9,g,22024,NA,bcg+id93,NA,83,22024,Cage: 22024 Notch: 1L,22024,2022-04-05,C57BL/88,m
Taru,2022-05-26,1R1L,22,g,22024,NA,bcg+id93,NA,84,22024,Cage: 22024 Notch: 1R1L,22024,2022-04-05,C57BL/89,m
Taru,2022-05-26,0,23.9,g,22025,NA,saline,NA,85,22025,Cage: 22025 Notch: 0,22025,2022-04-05,C57BL/90,m
Taru,2022-05-26,1R,21.5,g,22025,NA,saline,NA,86,22025,Cage: 22025 Notch: 1R,22025,2022-04-05,C57BL/91,m
Taru,2022-05-26,1L,23.4,g,22025,NA,saline,NA,87,22025,Cage: 22025 Notch: 1L,22025,2022-04-05,C57BL/92,m
Taru,2022-05-26,1R1L,21.3,g,22025,NA,saline,NA,88,22025,Cage: 22025 Notch: 1R1L,22025,2022-04-05,C57BL/93,m
Taru,2022-05-26,0,24.6,g,22026,NA,saline,NA,89,22026,Cage: 22026 Notch: 0,22026,2022-04-05,C57BL/94,m
Taru,2022-05-26,1R,24.4,g,22026,NA,saline,NA,90,22026,Cage: 22026 Notch: 1R,22026,2022-04-05,C57BL/95,m
Taru,2022-05-26,1L,23.3,g,22026,NA,saline,NA,91,22026,Cage: 22026 Notch: 1L,22026,2022-04-05,C57BL/96,m
Taru,2022-05-26,1R1L,23.4,g,22026,NA,saline,NA,92,22026,Cage: 22026 Notch: 1R1L,22026,2022-04-05,C57BL/97,m
Taru,2022-05-26,0,21.3,g,22027,NA,saline,NA,93,22027,Cage: 22027 Notch: 0,22027,2022-04-05,C57BL/98,m
Taru,2022-05-26,1R,23.2,g,22027,NA,saline,NA,94,22027,Cage: 22027 Notch: 1R,22027,2022-04-05,C57BL/99,m
Taru,2022-05-26,1L,21,g,22027,NA,saline,NA,95,22027,Cage: 22027 Notch: 1L,22027,2022-04-05,C57BL/100,m
Taru,2022-05-26,1R1L,22.4,g,22027,NA,saline,NA,96,22027,Cage: 22027 Notch: 1R1L,22027,2022-04-05,C57BL/101,m
Taru,2022-05-26,0,22.3,g,22028,NA,saline+id93,NA,97,22028,Cage: 22028 Notch: 0,22028,2022-04-05,C57BL/102,m
Taru,2022-05-26,1R,24.2,g,22028,NA,saline+id93,NA,98,22028,Cage: 22028 Notch: 1R,22028,2022-04-05,C57BL/103,m
Taru,2022-05-26,1L,23.2,g,22028,NA,saline+id93,NA,99,22028,Cage: 22028 Notch: 1L,22028,2022-04-05,C57BL/104,m
Taru,2022-05-26,1R1L,24.3,g,22028,NA,saline+id93,NA,100,22028,Cage: 22028 Notch: 1R1L,22028,2022-04-05,C57BL/105,m
Taru,2022-05-26,0,23.1,g,22029,NA,saline+id93,NA,101,22029,Cage: 22029 Notch: 0,22029,2022-04-05,C57BL/106,m
Taru,2022-05-26,1R,24.8,g,22029,NA,saline+id93,NA,102,22029,Cage: 22029 Notch: 1R,22029,2022-04-05,C57BL/107,m
Taru,2022-05-26,1L,22.1,g,22029,NA,saline+id93,NA,103,22029,Cage: 22029 Notch: 1L,22029,2022-04-05,C57BL/108,m
Taru,2022-05-26,1R1L,24.5,g,22029,NA,saline+id93,NA,104,22029,Cage: 22029 Notch: 1R1L,22029,2022-04-05,C57BL/109,m
Taru,2022-05-26,0,23.9,g,22030,NA,saline+id93,NA,105,22030,Cage: 22030 Notch: 0,22030,2022-04-05,C57BL/110,m
Taru,2022-05-26,1R,25.6,g,22030,NA,saline+id93,NA,106,22030,Cage: 22030 Notch: 1R,22030,2022-04-05,C57BL/111,m
Taru,2022-05-26,1L,24.1,g,22030,NA,saline+id93,NA,107,22030,Cage: 22030 Notch: 1L,22030,2022-04-05,C57BL/112,m
Taru,2022-05-26,1R1L,22.6,g,22030,NA,saline+id93,R ear ripped,108,22030,Cage: 22030 Notch: 1R1L,22030,2022-04-05,C57BL/113,m
Taru,2022-05-26,0,24.4,g,M#4Saline,NA,saline+noMtb,NA,109,22477,Cage: 22477 Notch: 0,M#4Saline,2022-04-05,C57BL/114,m
Taru,2022-05-26,1R,24,g,M#4Saline,NA,saline+noMtb,NA,110,22477,Cage: 22477 Notch: 1R,M#4Saline,2022-04-05,C57BL/115,m
Taru,2022-05-26,1L,24.8,g,M#4Saline,NA,saline+noMtb,NA,111,22477,Cage: 22477 Notch: 1L,M#4Saline,2022-04-05,C57BL/116,m
Taru,2022-05-26,1R1L,23.1,g,M#4Saline,NA,saline+noMtb,NA,112,22477,Cage: 22477 Notch: 1R1L,M#4Saline,2022-04-05,C57BL/117,m
Taru,2022-05-26,0,24,g,M#5Saline,NA,saline+noMtb,NA,113,22478,Cage: 22478 Notch: 0,M#5Saline,2022-04-05,C57BL/118,m
Taru,2022-05-26,1R,21.9,g,M#5Saline,NA,saline+noMtb,NA,114,22478,Cage: 22478 Notch: 1R,M#5Saline,2022-04-05,C57BL/119,m
Taru,2022-05-26,1L,23.9,g,M#5Saline,NA,saline+noMtb,NA,115,22478,Cage: 22478 Notch: 1L,M#5Saline,2022-04-05,C57BL/120,m
Taru,2022-05-26,1R1L,24.7,g,M#5Saline,NA,saline+noMtb,NA,116,22478,Cage: 22478 Notch: 1R1L,M#5Saline,2022-04-05,C57BL/121,m
Taru,2022-05-26,0,22.7,g,M#6Saline,NA,saline+noMtb,NA,117,22479,Cage: 22479 Notch: 0,M#6Saline,2022-04-05,C57BL/122,m
Taru,2022-05-26,1R,24.3,g,M#6Saline,NA,saline+noMtb,NA,118,22479,Cage: 22479 Notch: 1R,M#6Saline,2022-04-05,C57BL/123,m
Taru,2022-05-26,1L,22.8,g,M#6Saline,NA,saline+noMtb,NA,119,22479,Cage: 22479 Notch: 1L,M#6Saline,2022-04-05,C57BL/124,m
Taru,2022-05-26,1R1L,25.3,g,M#6Saline,NA,saline+noMtb,NA,120,22479,Cage: 22479 Notch: 1R1L,M#6Saline,2022-04-05,C57BL/125,m
Taru,2022-05-26,0,17.4,g,22015,NA,bcg,NA,121,22015,Cage: 22015 Notch: 0,22015,2022-04-05,C57BL/126,f
Taru,2022-05-26,1R,16.7,g,22015,NA,bcg,NA,122,22015,Cage: 22015 Notch: 1R,22015,2022-04-05,C57BL/127,f
Taru,2022-05-26,1L,19,g,22015,NA,bcg,NA,123,22015,Cage: 22015 Notch: 1L,22015,2022-04-05,C57BL/128,f
Taru,2022-05-26,1R1L,17.5,g,22015,NA,bcg,NA,124,22015,Cage: 22015 Notch: 1R1L,22015,2022-04-05,C57BL/129,f
Taru,2022-05-26,2L,17.5,g,22015,NA,bcg,NA,125,22015,Cage: 22015 Notch: 2L,22015,2022-04-05,C57BL/130,f
Taru,2022-05-26,0,18.5,g,22016,NA,bcg+id93,NA,126,22016,Cage: 22016 Notch: 0,22016,2022-04-05,C57BL/131,f
Taru,2022-05-26,1R,18.2,g,22016,NA,bcg+id93,NA,127,22016,Cage: 22016 Notch: 1R,22016,2022-04-05,C57BL/132,f
Taru,2022-05-26,1L,18,g,22016,NA,bcg+id93,NA,128,22016,Cage: 22016 Notch: 1L,22016,2022-04-05,C57BL/133,f
Taru,2022-05-26,1R1L,17.6,g,22016,NA,bcg+id93,NA,129,22016,Cage: 22016 Notch: 1R1L,22016,2022-04-05,C57BL/134,f
Taru,2022-05-26,2L,18.1,g,22016,NA,bcg+id93,NA,130,22016,Cage: 22016 Notch: 2L,22016,2022-04-05,C57BL/135,f
Taru,2022-05-26,0,18.4,g,22017,NA,saline,NA,131,22017,Cage: 22017 Notch: 0,22017,2022-04-05,C57BL/136,f
Taru,2022-05-26,1R,18.7,g,22017,NA,saline,NA,132,22017,Cage: 22017 Notch: 1R,22017,2022-04-05,C57BL/137,f
Taru,2022-05-26,1L,19.2,g,22017,NA,saline,NA,133,22017,Cage: 22017 Notch: 1L,22017,2022-04-05,C57BL/138,f
Taru,2022-05-26,1R1L,19.1,g,22017,NA,saline,NA,134,22017,Cage: 22017 Notch: 1R1L,22017,2022-04-05,C57BL/139,f
Taru,2022-05-26,2L,19.4,g,22017,NA,saline,"small ear, close punches",135,22017,Cage: 22017 Notch: 2L,22017,2022-04-05,C57BL/140,f
Taru,2022-05-26,0,18.8,g,22018,NA,saline+id93,NA,136,22018,Cage: 22018 Notch: 0,22018,2022-04-05,C57BL/141,f
Taru,2022-05-26,1R,17.1,g,22018,NA,saline+id93,NA,137,22018,Cage: 22018 Notch: 1R,22018,2022-04-05,C57BL/142,f
Taru,2022-05-26,1L,16.2,g,22018,NA,saline+id93,NA,138,22018,Cage: 22018 Notch: 1L,22018,2022-04-05,C57BL/143,f
Taru,2022-05-26,1R1L,16.9,g,22018,NA,saline+id93,NA,139,22018,Cage: 22018 Notch: 1R1L,22018,2022-04-05,C57BL/144,f
Taru,2022-05-26,2R,15.8,g,22018,NA,saline+id93,NA,140,22018,Cage: 22018 Notch: 2R,22018,2022-04-05,C57BL/145,f
Forrest,2022-06-03,0,19,g,22003,NA,bcg,NA,1,22003,Cage: 22003 Notch: 0,22003,2022-04-05,C57BL/6,f
Forrest,2022-06-03,1R,17.8,g,22003,NA,bcg,NA,2,22003,Cage: 22003 Notch: 1R,22003,2022-04-05,C57BL/7,f
Forrest,2022-06-03,1L,18,g,22003,NA,bcg,NA,3,22003,Cage: 22003 Notch: 1L,22003,2022-04-05,C57BL/8,f
Forrest,2022-06-03,1R1L,19,g,22003,NA,bcg,NA,4,22003,Cage: 22003 Notch: 1R1L,22003,2022-04-05,C57BL/9,f
Forrest,2022-06-03,0,19.6,g,22004,NA,bcg,NA,5,22004,Cage: 22004 Notch: 0,22004,2022-04-05,C57BL/10,f
Forrest,2022-06-03,1R,19.2,g,22004,NA,bcg,NA,6,22004,Cage: 22004 Notch: 1R,22004,2022-04-05,C57BL/11,f
Forrest,2022-06-03,1L,20.1,g,22004,NA,bcg,NA,7,22004,Cage: 22004 Notch: 1L,22004,2022-04-05,C57BL/12,f
Forrest,2022-06-03,1R1L,17.9,g,22004,NA,bcg,NA,8,22004,Cage: 22004 Notch: 1R1L,22004,2022-04-05,C57BL/13,f
Forrest,2022-06-03,0,18,g,22005,NA,bcg,NA,9,22005,Cage: 22005 Notch: 0,22005,2022-04-05,C57BL/14,f
Forrest,2022-06-03,1R,20,g,22005,NA,bcg,NA,10,22005,Cage: 22005 Notch: 1R,22005,2022-04-05,C57BL/15,f
Forrest,2022-06-03,1L,19.4,g,22005,NA,bcg,NA,11,22005,Cage: 22005 Notch: 1L,22005,2022-04-05,C57BL/16,f
Forrest,2022-06-03,1R1L,20.5,g,22005,NA,bcg,NA,12,22005,Cage: 22005 Notch: 1R1L,22005,2022-04-05,C57BL/17,f
Forrest,2022-06-03,0,16.4,g,22006,NA,bcg+id93,NA,13,22006,Cage: 22006 Notch: 0,22006,2022-04-05,C57BL/18,f
Forrest,2022-06-03,1R,15.9,g,22006,NA,bcg+id93,NA,14,22006,Cage: 22006 Notch: 1R,22006,2022-04-05,C57BL/19,f
Forrest,2022-06-03,1L,19.3,g,22006,NA,bcg+id93,NA,15,22006,Cage: 22006 Notch: 1L,22006,2022-04-05,C57BL/20,f
Forrest,2022-06-03,1R1L,17.6,g,22006,NA,bcg+id93,NA,16,22006,Cage: 22006 Notch: 1R1L,22006,2022-04-05,C57BL/21,f
Forrest,2022-06-03,0,16.9,g,22007,NA,bcg+id93,NA,17,22007A,Cage: 22007A Notch: 0,22007,2022-04-05,C57BL/22,f
Forrest,2022-06-03,1R,18,g,22007,NA,bcg+id93,NA,18,22007,Cage: 22007 Notch: 1R,22007,2022-04-05,C57BL/23,f
Forrest,2022-06-03,1L,18.1,g,22007,NA,bcg+id93,NA,19,22007,Cage: 22007 Notch: 1L,22007,2022-04-05,C57BL/24,f
Forrest,2022-06-03,1R1L,18.1,g,22007,NA,bcg+id93,NA,20,22007,Cage: 22007 Notch: 1R1L,22007,2022-04-05,C57BL/25,f
Forrest,2022-06-03,0,19,g,22008,NA,bcg+id93,Barbering,21,22008,Cage: 22008 Notch: 0,22008,2022-04-05,C57BL/26,f
Forrest,2022-06-03,1R,20,g,22008,NA,bcg+id93,Barbering,22,22008,Cage: 22008 Notch: 1R,22008,2022-04-05,C57BL/27,f
Forrest,2022-06-03,1L,16.9,g,22008,NA,bcg+id93,No Barbing,23,22008,Cage: 22008 Notch: 1L,22008,2022-04-05,C57BL/28,f
Forrest,2022-06-03,1R1L,18.1,g,22008,NA,bcg+id93,Barbering,24,22008,Cage: 22008 Notch: 1R1L,22008,2022-04-05,C57BL/29,f
Forrest,2022-06-03,0,19.3,g,22009,NA,saline,NA,25,22009A,Cage: 22009A Notch: 0,22009,2022-04-05,C57BL/30,f
Forrest,2022-06-03,1R,18.4,g,22009,NA,saline,NA,26,22009,Cage: 22009 Notch: 1R,22009,2022-04-05,C57BL/31,f
Forrest,2022-06-03,1L,19.9,g,22009,22480,saline,Moved cage,27,22480,Cage: 22480 Notch: 1L,22009,2022-04-05,C57BL/32,f
Forrest,2022-06-03,1R1L,16.7,g,22009,NA,saline,NA,28,22009,Cage: 22009 Notch: 1R1L,22009,2022-04-05,C57BL/33,f
Forrest,2022-06-03,0,21.1,g,22010,NA,saline,NA,29,22010,Cage: 22010 Notch: 0,22010,2022-04-05,C57BL/34,f
Forrest,2022-06-03,1R,19.2,g,22010,NA,saline,NA,30,22010,Cage: 22010 Notch: 1R,22010,2022-04-05,C57BL/35,f
Forrest,2022-06-03,1L,20,g,22010,NA,saline,NA,31,22010,Cage: 22010 Notch: 1L,22010,2022-04-05,C57BL/36,f
Forrest,2022-06-03,1R1L,19.7,g,22010,NA,saline,NA,32,22010,Cage: 22010 Notch: 1R1L,22010,2022-04-05,C57BL/37,f
Forrest,2022-06-03,0,20.4,g,22011,NA,saline,NA,33,22011,Cage: 22011 Notch: 0,22011,2022-04-05,C57BL/38,f
Forrest,2022-06-03,1R,17.1,g,22011,NA,saline,NA,34,22011,Cage: 22011 Notch: 1R,22011,2022-04-05,C57BL/39,f
Forrest,2022-06-03,1L,20.7,g,22011,NA,saline,NA,35,22011,Cage: 22011 Notch: 1L,22011,2022-04-05,C57BL/40,f
Forrest,2022-06-03,1R1L,16.4,g,22011,NA,saline,NA,36,22011,Cage: 22011 Notch: 1R1L,22011,2022-04-05,C57BL/41,f
Forrest,2022-06-03,0,19.8,g,22012,NA,saline+id93,NA,37,22012,Cage: 22012 Notch: 0,22012,2022-04-05,C57BL/42,f
Forrest,2022-06-03,1R,20,g,22012,NA,saline+id93,NA,38,22012,Cage: 22012 Notch: 1R,22012,2022-04-05,C57BL/43,f
Forrest,2022-06-03,1L,19.9,g,22012,NA,saline+id93,NA,39,22012A,Cage: 22012A Notch: 1L,22012,2022-04-05,C57BL/44,f
Forrest,2022-06-03,1R1L,20.8,g,22012,NA,saline+id93,NA,40,22012,Cage: 22012 Notch: 1R1L,22012,2022-04-05,C57BL/45,f
